BAFU name,BAFU category,Ecoinvent name,Ecoinvent category
"Water, unspecified natural origin, TR","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, TT","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, TW","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, UA","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, US","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, UZ","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, VE","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin, ZA","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified natural origin/m3","('resources',)","Water, unspecified natural origin","('natural resource', 'in water')"
"Water, unspecified natural origin/m3","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, unspecified, Europe","('natural resource', 'in water')","Water, unspecified natural origin",
"Water, US","('water', 'ocean')",Water,
"Water, US","('air',)",Water,
"Water, US","('water',)",Water,
"Water, US","('water', 'surface water')",Water,
"Water, UZ","('water', 'surface water')",Water,
"Water, VE","('water', 'surface water')",Water,
"Water, well","('natural resource', 'in water')","Water, well, in ground",
"Water, well","('resources',)","Water, well, in ground","('natural resource', 'in water')"
"Water, well, CH","('natural resource', 'in water')","Water, well, in ground",
"Water, well, GLO","('natural resource', 'in water')","Water, well, in ground",
"Water, well, RER","('natural resource', 'in water')","Water, well, in ground",
"Water, well, RER","('natural resource', 'in ground')","Water, well, in ground",
"Water, ZA","('air',)",Water,
"Water, ZA","('water',)",Water,
Water/m3,"('air', 'non-urban air or from high stacks')",Water,
"Wood, unspecified, standing/kg","('natural resource', 'land')","Wood, unspecified, standing",
"Wood, unspecified, standing/kg","('resources',)","Wood, unspecified, standing","('natural resource', 'biotic')"
"Wood, unspecified, standing/m3","('natural resource', 'biotic')","Wood, unspecified, standing",
Zinc,"('soil', 'industrial')",Zinc II,
Zinc,"('air', 'lower stratosphere + upper troposphere')",Zinc II,
Zinc,"('air', 'low population density, long-term')",Zinc II,
Zinc,"('water', 'surface water')",Zinc II,
Zinc,"('soil', 'agricultural')",Zinc II,
Zinc,"('soil',)",Zinc II,
Zinc,"('air', 'urban air close to ground')",Zinc II,
Zinc,"('water', 'ocean')",Zinc II,
Zinc,"('air', 'non-urban air or from high stacks')",Zinc II,
Zinc,"('water',)",Zinc II,
Zinc,"('water', 'ground-, long-term')",Zinc II,
Zinc,"('water', 'ground-')",Zinc II,
Zinc,"('air',)",Zinc II,
Zinc oxide,"('air',)",Zinc II,
"Zinc, resource correction","('natural resource', 'in ground')",Zinc,
"Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore","('natural resource', 'in ground')","Zinc, Zn 0.63%, in mixed ore",
